Name,Description,Address,Official Link,Image Link
Fumo,"Bright, modern neighborhood Italian destination serving upmarket pizza, pasta & cocktails.","1600 Amsterdam Ave, New York, NY 10031",https://www.fumorestaurant.com/,https://media-cdn.tripadvisor.com/media/photo-s/11/65/35/20/restaurant-fumo.jpg
Vessel,"Vessel is a structure and landmark, designed by Thomas Heatherwick, built as part of the Hudson Yards Redevelopment Project in Manhattan. Free to enter, but requires a reservation ahead of time. Costs $10 without a reservation.","The Shops and Restaurants at Hudson Yards, New York, NY 10001",,https://upload.wikimedia.org/wikipedia/commons/f/f6/Hudson_Yards_Plaza_March_2019_53.jpg
The Metropolitan Museum of Art,"The Met is the largest art museum in the United States. With 6,953,927 visitors to its three locations in 2018, it was the third most visited art museum in the world. $25 for adults; $17 for seniors; $12 for students. Free for Members, Patrons, and children under 12. Pay-as-you-wish for NY residents.","1000 5th Ave, New York, NY 10028",https://www.metmuseum.org,https://www.centralpark.com/downloads/8562/download/metropolitan-museum-of-art.jpg?cb=e107c33e892b68ceca830f1fc85a6719&w=640
The High Line,"1.45-mile-long elevated linear park, greenway and rail trail created on a former New York Central Railroad spur on the west side of Manhattan in NYC. The High Line's design is a collaboration between James Corner Field Operations, Diller Scofidio + Renfro, and Piet Oudolf.",Gansevoort Street and Washington Street (elevator access) 14th Street (elevator access) 16th Street (elevator access),https://www.thehighline.org/visit/,https://www.nycgovparks.org/photo_gallery/full_size/14435.jpg
Smorgasburg,Smorgasburg is an annual food flea market put on by Brooklyn Flea founders Eric Demby and Jonathan Butler featuring up to 100 vendors in various locations in Brooklyn and Manhattan.,"90 Kent Ave, Brooklyn, NY 11211",https://www.smorgasburg.com/,https://images.squarespace-cdn.com/content/v1/58a0d691ff7c50486df2c34c/1505181909808-GX3MXGVJ68YWU4A0FNX5/ke17ZwdGBToddI8pDm48kLkXF2pIyv_F2eUT9F60jBl7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0iyqMbMesKd95J-X4EagrgU9L3Sa3U8cogeb0tjXbfawd0urKshkc5MgdBeJmALQKw/Saturday+Williamsburg
New York Botanical Garden,"A botanical garden located at Bronx Park, in the Bronx, New York City. The 250-acre site's verdant landscape supports over one million living plants in extensive collections. Has "," 2900 Southern Blvd, The Bronx, NY 10458",https://www.nybg.org/,http://nycmonthly.com/wp-content/uploads/2016/03/nybg.jpg
Museum of Modern Art (MoMA),"MoMA is an art museum located in Midtown Manhattan. MOMA is one of the largest museums in the world. MoMA's collection offers an overview of modern and contemporary art, including works of architecture and design, drawing, painting, sculpture, photography, prints, illustrated books and artist's books, film, and electronic media.","53W53, 53 W 53rd St, New York, NY 10019",https://www.moma.org/,https://nyoobserver.files.wordpress.com/2016/01/461565689.jpg?quality=80
Chinatown,"Chinatown is a densely populated neighborhood that draws foodies and tourists to its many Chinese and Southeast Asian restaurants for dumplings, pork buns and hand-pulled noodles. It's packed with souvenir stores, bubble tea shops, and markets selling everything from fresh and dried fish to herbs and spices.","Grand Street, New York, NY",http://new-york-chinatown.info/,https://www.nycgo.com/images/articles/9672/chinatown_christopherpostlewaite_mg_8094__large.jpg
Empire State Building,"The iconic Empire State Building is a 102-story Art Deco skyscraper in Midtown Manhattan. It was designed by Shreve, Lamb & Harmon and completed in 1931. The building has a roof height of 1,250 feet and stands a total of 1,454 feet tall, including its antenna. "," 20 W 34th St, New York, NY 10001",https://www.esbnyc.com/,https://upload.wikimedia.org/wikipedia/commons/1/10/Empire_State_Building_%28aerial_view%29.jpg
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
